STT_Goc,Chuong,Ten_Chuong,Tu_Vung,Nghia
228,6,Chương 6: Giao thông & Đi lại (交通・移動と乗り物),心細い (こころぼそい),"cô đơn, tủi thân, bất an"
229,6,Chương 6: Giao thông & Đi lại (交通・移動と乗り物),かわいそうな,"tội nghiệp, đáng thương"
230,6,Chương 6: Giao thông & Đi lại (交通・移動と乗り物),気の毒な (きのどくな),"đáng tiếc, đáng thương"
231,6,Chương 6: Giao thông & Đi lại (交通・移動と乗り物),貧しい (まずしい),"nghèo, thiếu thốn"
232,6,Chương 6: Giao thông & Đi lại (交通・移動と乗り物),惜しい (おしい),"đáng tiếc, lãng phí"
233,6,Chương 6: Giao thông & Đi lại (交通・移動と乗り物),仕方(が)ない (しかた(が)ない),"bó tay, không còn cách nào khác, đành chấp nhận"
234,6,Chương 6: Giao thông & Đi lại (交通・移動と乗り物),やむを得ない (やむをえない),"bất đắc dĩ, bất khả kháng"
235,7,Chương 7: Mua sắm & Tiêu dùng (買い物・消費とサービス),面倒臭い (めんどうくさい),"phiền hà, rắc rối"
236,7,Chương 7: Mua sắm & Tiêu dùng (買い物・消費とサービス),しつこい,"lằng nhằng, nói hoài, cảm ràm"
237,7,Chương 7: Mua sắm & Tiêu dùng (買い物・消費とサービス),くどい,"dài dòng, lắm lời"
238,7,Chương 7: Mua sắm & Tiêu dùng (買い物・消費とサービス),煙い (けむい),khói mù mịt
239,7,Chương 7: Mua sắm & Tiêu dùng (買い物・消費とサービス),邪魔な (じゃまな),"vướng víu, cản trở"
240,7,Chương 7: Mua sắm & Tiêu dùng (買い物・消費とサービス),うるさい,"dài dòng, phiền phức, ồn ào"
241,7,Chương 7: Mua sắm & Tiêu dùng (買い物・消費とサービス),騒々しい (そうぞうしい),"ồn ào, hỗn loạn, inh ỏi"
242,7,Chương 7: Mua sắm & Tiêu dùng (買い物・消費とサービス),慌ただしい (あわただしい),"bận túi bụi, không yên ổn"
243,7,Chương 7: Mua sắm & Tiêu dùng (買い物・消費とサービス),そそっかしい,"hấp tấp, nôn nóng, cẩu thả"
244,7,Chương 7: Mua sắm & Tiêu dùng (買い物・消費とサービス),思いがけない (おもいがけない),"không ngờ, vô tình"
245,7,Chương 7: Mua sắm & Tiêu dùng (買い物・消費とサービス),何気ない (なにげない),"ngẫu nhiên, tình cờ, không cô ý"
246,7,Chương 7: Mua sắm & Tiêu dùng (買い物・消費とサービス),とんでもない,ngoài sức tưởng tượng
247,7,Chương 7: Mua sắm & Tiêu dùng (買い物・消費とサービス),くだらない,"chán phèo, xàm, vô tích sự"
248,7,Chương 7: Mua sắm & Tiêu dùng (買い物・消費とサービス),ばかばかしい,"vớ vẫn, ngu ngốc"
249,7,Chương 7: Mua sắm & Tiêu dùng (買い物・消費とサービス),でたらめな,"bừa bãi, không căn cứ"
250,7,Chương 7: Mua sắm & Tiêu dùng (買い物・消費とサービス),だらしない,"câu thả, lỏng lẻo, luộm thuộm, bất cần"
251,7,Chương 7: Mua sắm & Tiêu dùng (買い物・消費とサービス),ずうずうしい,"vô liêm sỉ, trơ trẽn"
252,7,Chương 7: Mua sắm & Tiêu dùng (買い物・消費とサービス),ずるい,"ranh mãnh, láu cá, gian xảo"
253,7,Chương 7: Mua sắm & Tiêu dùng (買い物・消費とサービス),憎らしい (にくらしい),"đáng ghét, ghen tị"
254,7,Chương 7: Mua sắm & Tiêu dùng (買い物・消費とサービス),憎い (にくい),căm ghét
255,7,Chương 7: Mua sắm & Tiêu dùng (買い物・消費とサービス),険しい (けわしい),"hiểm trở, cộc cằn, nghiêm khắc, hung dữ"
256,7,Chương 7: Mua sắm & Tiêu dùng (買い物・消費とサービス),辛い (つらい),"đau đớn, khổ sở"
257,7,Chương 7: Mua sắm & Tiêu dùng (買い物・消費とサービス),きつい,"chật, gay go, khó khăn"
258,7,Chương 7: Mua sắm & Tiêu dùng (買い物・消費とサービス),緩い (ゆるい),"lỏng lẻo, thoải, nhẹ nhàng"
259,7,Chương 7: Mua sắm & Tiêu dùng (買い物・消費とサービス),鈍い (にぶい),"Cùn ( dao ), đần độn, yếu, chậm, lờ mờ"
260,7,Chương 7: Mua sắm & Tiêu dùng (買い物・消費とサービス),鋭い (するどい),"sắc bén, sắc sảo, nhạy bén"
261,7,Chương 7: Mua sắm & Tiêu dùng (買い物・消費とサービス),荒い・粗い (あらい),"thô bạo, cục súc, cộc cằn"
262,7,Chương 7: Mua sắm & Tiêu dùng (買い物・消費とサービス),強引な (ごういんな),"cưỡng bức, miễn cưỡng"
263,7,Chương 7: Mua sắm & Tiêu dùng (買い物・消費とサービス),勝手な (かってな),"tự ý, tự tiện, ích ki"
264,7,Chương 7: Mua sắm & Tiêu dùng (買い物・消費とサービス),強気な (つよきな),"táo bạo, mạnh mẽ"
265,7,Chương 7: Mua sắm & Tiêu dùng (買い物・消費とサービス),頑固な (がんこな),"bảo thủ, cố chấp"
266,7,Chương 7: Mua sắm & Tiêu dùng (買い物・消費とサービス),過剰な (かじょうな),"quá độ, thái quá"
267,7,Chương 7: Mua sắm & Tiêu dùng (買い物・消費とサービス),重大な (じゅうたいな),"trọng đại, quan trọng"
268,7,Chương 7: Mua sắm & Tiêu dùng (買い物・消費とサービス),深刻な (しんこくな),nghiêm trọng
269,7,Chương 7: Mua sắm & Tiêu dùng (買い物・消費とサービス),気楽な (きらくな),"thoải mái, thong thả"
270,7,Chương 7: Mua sắm & Tiêu dùng (買い物・消費とサービス),安易な (あんいな),"dễ dàng, đơn giản, bất cần"
271,7,Chương 7: Mua sắm & Tiêu dùng (買い物・消費とサービス),運 (うん),"số, vận mệnh"
272,7,Chương 7: Mua sắm & Tiêu dùng (買い物・消費とサービス),勘 (かん),"trực giác, linh cảm"
273,7,Chương 7: Mua sắm & Tiêu dùng (買い物・消費とサービス),感覚 (かんかく),"cảm giác, giác quan"
274,8,Chương 8: Cảm xúc & Tâm trạng con người (感情・気分と心理),神経 (しんけい),"thần kinh, tinh thần"
275,8,Chương 8: Cảm xúc & Tâm trạng con người (感情・気分と心理),記憶 (きおく),"ký ức, trí nhớ"
276,8,Chương 8: Cảm xúc & Tâm trạng con người (感情・気分と心理),様子 (ようす),"bộ dạng, tình trạng, tình hình"
277,8,Chương 8: Cảm xúc & Tâm trạng con người (感情・気分と心理),雰囲気 (ふんいき),"bầu không khí, phong thái"
278,8,Chương 8: Cảm xúc & Tâm trạng con người (感情・気分と心理),魅力 (みりょく),"sức hút, sức hấp dẫn, quyến rũ, ma lực"
279,8,Chương 8: Cảm xúc & Tâm trạng con người (感情・気分と心理),機嫌 (きげん),"tâm trạng, thần thái, sắc mặt"
280,8,Chương 8: Cảm xúc & Tâm trạng con người (感情・気分と心理),関心 (かんしん),quan tâm
281,8,Chương 8: Cảm xúc & Tâm trạng con người (感情・気分と心理),意欲 (いよく),"mong muốn, hứng thú"
282,8,Chương 8: Cảm xúc & Tâm trạng con người (感情・気分と心理),全力 (ぜんりょく),"sung sức, toàn lực"
283,8,Chương 8: Cảm xúc & Tâm trạng con người (感情・気分と心理),本気 (ほんき),"nghiêm túc, hết sức, hết minh"
284,8,Chương 8: Cảm xúc & Tâm trạng con người (感情・気分と心理),意識 (いしき),"nhận thức, để ý đến"
285,8,Chương 8: Cảm xúc & Tâm trạng con người (感情・気分と心理),感激 (かんげき),"cảm kích, xúc động"
286,8,Chương 8: Cảm xúc & Tâm trạng con người (感情・気分と心理),同情 (どうじょう),"đồng cảm, cảm thương"
287,8,Chương 8: Cảm xúc & Tâm trạng con người (感情・気分と心理),同意 (どうい),đồng ý
288,8,Chương 8: Cảm xúc & Tâm trạng con người (感情・気分と心理),同感 (どうかん),"đồng tình, cùng ý kiến"
289,8,Chương 8: Cảm xúc & Tâm trạng con người (感情・気分と心理),対立 (たいりつ),"xung đột, phản đối"
290,8,Chương 8: Cảm xúc & Tâm trạng con người (感情・気分と心理),主張 (しゅちょう),"chủ trương, quan điểm"
291,8,Chương 8: Cảm xúc & Tâm trạng con người (感情・気分と心理),要求 (ようきゅう),yêu cầu
292,8,Chương 8: Cảm xúc & Tâm trạng con người (感情・気分と心理),得 (とく),"lợi ích, lãi"
293,8,Chương 8: Cảm xúc & Tâm trạng con người (感情・気分と心理),損 (そん),"lỗ, tổn thất, thiệt hại"
294,8,Chương 8: Cảm xúc & Tâm trạng con người (感情・気分と心理),勝負 (しょうぶ),"cạnh tranh, trận đầu, hơn thua"
295,8,Chương 8: Cảm xúc & Tâm trạng con người (感情・気分と心理),勢い (いきおい),"mạnh mẽ, tràn trề, khí thế"
296,8,Chương 8: Cảm xúc & Tâm trạng con người (感情・気分と心理),爆発 (ばくはつ),"phát nổ, bùng nổ"
297,8,Chương 8: Cảm xúc & Tâm trạng con người (感情・気分と心理),災害 (さいがい),"tai họa, thảm họa"
298,8,Chương 8: Cảm xúc & Tâm trạng con người (感情・気分と心理),天候 (てんこう),"thời tiết, khí hậu"
299,8,Chương 8: Cảm xúc & Tâm trạng con người (感情・気分と心理),乾燥 (かんそう),"sự khô khan, khô hạn"
300,8,Chương 8: Cảm xúc & Tâm trạng con người (感情・気分と心理),観測 (かんそく),"quan sát, dự đoán, đo đạc"
301,8,Chương 8: Cảm xúc & Tâm trạng con người (感情・気分と心理),遭難 (そうなん),"gặp nạn, mất phương hướng"
302,8,Chương 8: Cảm xúc & Tâm trạng con người (感情・気分と心理),発生 (はっせい),phát sinh
303,8,Chương 8: Cảm xúc & Tâm trạng con người (感情・気分と心理),登場 (とうじょう),"phát hành, xuất hiện"
304,8,Chương 8: Cảm xúc & Tâm trạng con người (感情・気分と心理),回復 (かいふく),hồi phục
305,8,Chương 8: Cảm xúc & Tâm trạng con người (感情・気分と心理),援助 (えんじょ),"hỗ trợ, chỉ viện"
306,8,Chương 8: Cảm xúc & Tâm trạng con người (感情・気分と心理),保険 (ほけん),bảo hiểm
307,8,Chương 8: Cảm xúc & Tâm trạng con người (感情・気分と心理),追加 (ついか),"bổ sung, trả thêm"
308,8,Chương 8: Cảm xúc & Tâm trạng con người (感情・気分と心理),応用 (おうよう),"ứng dụng, áp dụng"
309,8,Chương 8: Cảm xúc & Tâm trạng con người (感情・気分と心理),解答(回答) (かいとう),"đáp án, hồi đáp, trả lời"
310,8,Chương 8: Cảm xúc & Tâm trạng con người (感情・気分と心理),結論 (けつろん),kết luận
311,8,Chương 8: Cảm xúc & Tâm trạng con người (感情・気分と心理),案 (あん),"phương án, ý tưởng, đề xuất"
312,8,Chương 8: Cảm xúc & Tâm trạng con người (感情・気分と心理),集中 (しゅうちゅう),tập trung
313,9,Chương 9: Tính cách & Thái độ ứng xử (性格・態度と人柄),区別 (くべつ),phân biệt
314,9,Chương 9: Tính cách & Thái độ ứng xử (性格・態度と人柄),差別 (さべつ),khác biệt
315,9,Chương 9: Tính cách & Thái độ ứng xử (性格・態度と人柄),中間 (ちゅうかん),"ở giữa, trung gian"
316,9,Chương 9: Tính cách & Thái độ ứng xử (性格・態度と人柄),逆 (ぎゃく),"ngược lại, tương phản"
317,9,Chương 9: Tính cách & Thái độ ứng xử (性格・態度と人柄),よそ,nơi khác
318,9,Chương 9: Tính cách & Thái độ ứng xử (性格・態度と人柄),外 (ほか),"khác, ngoài ra"
319,9,Chương 9: Tính cách & Thái độ ứng xử (性格・態度と人柄),境 (さかい),"biên giới, ngăn cách"
320,9,Chương 9: Tính cách & Thái độ ứng xử (性格・態度と人柄),半ば (なかば),"một nửa, 1 phần, lưng chừng"
321,9,Chương 9: Tính cách & Thái độ ứng xử (性格・態度と人柄),普段 (ふだん),"thường ngày, thường xuyên"
322,9,Chương 9: Tính cách & Thái độ ứng xử (性格・態度と人柄),日常 (にちじょう),"ngày thường, thường nhật"
323,9,Chương 9: Tính cách & Thái độ ứng xử (性格・態度と人柄),一般 (いっぱん),"phổ biến, thông thường"
324,9,Chương 9: Tính cách & Thái độ ứng xử (性格・態度と人柄),常識 (じょうしき),"dĩ nhiên, đương nhiên, thông thường"
325,9,Chương 9: Tính cách & Thái độ ứng xử (性格・態度と人柄),ことわざ,ca dao tục ngữ
326,9,Chương 9: Tính cách & Thái độ ứng xử (性格・態度と人柄),権利 (けんり),quyền lợi
327,9,Chương 9: Tính cách & Thái độ ứng xử (性格・態度と人柄),義務 (ぎむ),nghĩa vụ
328,9,Chương 9: Tính cách & Thái độ ứng xử (性格・態度と人柄),きっかけ,động cơ
329,9,Chương 9: Tính cách & Thái độ ứng xử (性格・態度と人柄),行動 (こうどう),"hành động, tác phong"
330,9,Chương 9: Tính cách & Thái độ ứng xử (性格・態度と人柄),使用 (しよう),sử dụng
331,9,Chương 9: Tính cách & Thái độ ứng xử (性格・態度と人柄),提出 (ていしゅつ),"nộp lại, giao nộp"
332,9,Chương 9: Tính cách & Thái độ ứng xử (性格・態度と人柄),期限 (きげん),"thời hạn, kỳ hạn"
333,9,Chương 9: Tính cách & Thái độ ứng xử (性格・態度と人柄),延期 (えんき),trì hoãn
334,9,Chương 9: Tính cách & Thái độ ứng xử (性格・態度と人柄),延長 (えんちょう),"kéo dài, gia hạn"
335,9,Chương 9: Tính cách & Thái độ ứng xử (性格・態度と人柄),短縮 (たんしゅく),"rút ngắn, co lại"
336,9,Chương 9: Tính cách & Thái độ ứng xử (性格・態度と人柄),映像 (えいぞう),hình ảnh
337,9,Chương 9: Tính cách & Thái độ ứng xử (性格・態度と人柄),撮影 (さつえい),"chụp ảnh, quay phim"
338,9,Chương 9: Tính cách & Thái độ ứng xử (性格・態度と人柄),背景 (はいけい),"bối cảnh, phông nền, hậu thuẫn"
339,9,Chương 9: Tính cách & Thái độ ứng xử (性格・態度と人柄),独立 (どくりつ),độc lập
340,9,Chương 9: Tính cách & Thái độ ứng xử (性格・態度と人柄),候補 (こうほ),"ứng cử, ứng viên"
341,9,Chương 9: Tính cách & Thái độ ứng xử (性格・態度と人柄),支持 (しじ),"chống đỡ, ủng hộ, viện trợ"
342,9,Chương 9: Tính cách & Thái độ ứng xử (性格・態度と人柄),投票 (とうひょう),"bầu cử, bầu chọn"
343,9,Chương 9: Tính cách & Thái độ ứng xử (性格・態度と人柄),当選 (とうせん),"trúng cử, giành được, đắc cử"
344,9,Chương 9: Tính cách & Thái độ ứng xử (性格・態度と人柄),抽選 (ちゅうせん),rút thăm
345,9,Chương 9: Tính cách & Thái độ ứng xử (性格・態度と人柄),配布 (はいふ),"phân phát, cung cấp"
346,9,Chương 9: Tính cách & Thái độ ứng xử (性格・態度と人柄),失格 (しっかく),"mất tư cách, mất quyền, bị loại, bị đuổi"
347,9,Chương 9: Tính cách & Thái độ ứng xử (性格・態度と人柄),余暇 (よか),"thời gian rỗi, giải trí"
348,9,Chương 9: Tính cách & Thái độ ứng xử (性格・態度と人柄),行事 (ぎょうじ),"sự kiện, lễ hội"
349,9,Chương 9: Tính cách & Thái độ ứng xử (性格・態度と人柄),理想 (りそう),lý tưởng
350,9,Chương 9: Tính cách & Thái độ ứng xử (性格・態度と人柄),現実 (げんじつ),"hiện thực, thực tế"
351,9,Chương 9: Tính cách & Thái độ ứng xử (性格・態度と人柄),体験 (たいけん),trải nghiệm
352,10,Chương 10: Giao tiếp & Mối quan hệ xã hội (コミュニケーションと社交),空想 (くうそう),"mơ mộng, ảo tưởng, viễn tưởng"
353,10,Chương 10: Giao tiếp & Mối quan hệ xã hội (コミュニケーションと社交),実物 (じつぶつ),"hiện vật, vật thật"
354,10,Chương 10: Giao tiếp & Mối quan hệ xã hội (コミュニケーションと社交),実現 (じつげん),thực hiện
355,10,Chương 10: Giao tiếp & Mối quan hệ xã hội (コミュニケーションと社交),実施 (じっし),thực thi
356,10,Chương 10: Giao tiếp & Mối quan hệ xã hội (コミュニケーションと社交),許可 (きょか),"cho phép, chấp nhận"
357,10,Chương 10: Giao tiếp & Mối quan hệ xã hội (コミュニケーションと社交),全体 (ぜんたい),"toàn thể, toàn bộ"
358,10,Chương 10: Giao tiếp & Mối quan hệ xã hội (コミュニケーションと社交),部分 (ぶぶん),"bộ phận, 1 phần"
359,10,Chương 10: Giao tiếp & Mối quan hệ xã hội (コミュニケーションと社交),統一 (とういつ),thống nhất
360,10,Chương 10: Giao tiếp & Mối quan hệ xã hội (コミュニケーションと社交),拡大 (かくだい),"mở rộng, phóng to"
361,10,Chương 10: Giao tiếp & Mối quan hệ xã hội (コミュニケーションと社交),縮小 (しゅくしょう),"thu nhỏ, làm ngắn"
362,10,Chương 10: Giao tiếp & Mối quan hệ xã hội (コミュニケーションと社交),集合 (しゅうごう),"tập hợp, tập kết"
363,10,Chương 10: Giao tiếp & Mối quan hệ xã hội (コミュニケーションと社交),方向 (ほうこう),phương hướng
364,10,Chương 10: Giao tiếp & Mối quan hệ xã hội (コミュニケーションと社交),間隔 (かんかく),"khoảng cách, giãn cách"
365,10,Chương 10: Giao tiếp & Mối quan hệ xã hội (コミュニケーションと社交),脇 (わき),"phía bên, nách"
366,10,Chương 10: Giao tiếp & Mối quan hệ xã hội (コミュニケーションと社交),通過 (つうか),thông qua
367,10,Chương 10: Giao tiếp & Mối quan hệ xã hội (コミュニケーションと社交),移動 (いどう),"di chuyển, đi lại"
368,10,Chương 10: Giao tiếp & Mối quan hệ xã hội (コミュニケーションと社交),停止 (ていし),"dừng lại, tạm dừng"
369,10,Chương 10: Giao tiếp & Mối quan hệ xã hội (コミュニケーションと社交),低下 (ていか),"giảm sút, giảm đi"
370,10,Chương 10: Giao tiếp & Mối quan hệ xã hội (コミュニケーションと社交),超過 (ちょうか),"vượt quá đếm được (tiền, thời gian, bệnh)"
371,10,Chương 10: Giao tiếp & Mối quan hệ xã hội (コミュニケーションと社交),立ち上がる (たちあがる),"đứng lên, nổi dậy"
372,10,Chương 10: Giao tiếp & Mối quan hệ xã hội (コミュニケーションと社交),飛び上がる (とびあがる),"nhảy cẫng lên, đứng phắt dậy"
373,10,Chương 10: Giao tiếp & Mối quan hệ xã hội (コミュニケーションと社交),浮かび上がる (うかびあがる),"nổi lên, in bóng, hiện ra"
374,10,Chương 10: Giao tiếp & Mối quan hệ xã hội (コミュニケーションと社交),舞い上がる (まいあがる),"bay vút lên, cuộn lên, bay bông, nhào lộn"
375,10,Chương 10: Giao tiếp & Mối quan hệ xã hội (コミュニケーションと社交),燃え上がる (もえあがる),bốc cháy lên
376,10,Chương 10: Giao tiếp & Mối quan hệ xã hội (コミュニケーションと社交),盛り上がる (もりあがる),"Hăng máu lên, tăng lên, phấn khích"
377,10,Chương 10: Giao tiếp & Mối quan hệ xã hội (コミュニケーションと社交),沸き上がる (わきあがる),"sôi lên, dâng trào cảm xúc"
378,10,Chương 10: Giao tiếp & Mối quan hệ xã hội (コミュニケーションと社交),晴れ上がる (はれあがる),"sáng sủa lên, trở nên sạch"
379,10,Chương 10: Giao tiếp & Mối quan hệ xã hội (コミュニケーションと社交),震え上がる (ふるえあがる),run bắn lên
380,10,Chương 10: Giao tiếp & Mối quan hệ xã hội (コミュニケーションと社交),縮み上がる (ちぢみあがる),Co rúm lại; sợ hãi; khúm núm
381,10,Chương 10: Giao tiếp & Mối quan hệ xã hội (コミュニケーションと社交),干上がる (ひあがる),"khô nẻ, khô cằn"
382,10,Chương 10: Giao tiếp & Mối quan hệ xã hội (コミュニケーションと社交),でき上がる (できあがる),"Hoàn tất, nấu xong"
383,10,Chương 10: Giao tiếp & Mối quan hệ xã hội (コミュニケーションと社交),持ち上げる (もちあげる),"nhấc lên, nâng, dựng đứng,"
384,10,Chương 10: Giao tiếp & Mối quan hệ xã hội (コミュニケーションと社交),見上げる (みあげる),"ngước lên, ngưỡng mộ"
385,10,Chương 10: Giao tiếp & Mối quan hệ xã hội (コミュニケーションと社交),積み上げる (つみあげる),"vun lên, chất lên, tích lũy"
386,10,Chương 10: Giao tiếp & Mối quan hệ xã hội (コミュニケーションと社交),打ち上げる (うちあげる),báo cáo; phóng; bắn lên
387,10,Chương 10: Giao tiếp & Mối quan hệ xã hội (コミュニケーションと社交),立ち上げる (たちあげる),"khởi động, thành lập, bắt đầu"
388,10,Chương 10: Giao tiếp & Mối quan hệ xã hội (コミュニケーションと社交),切り上げる (きりあげる),"làm tròn lên, kết thúc, cắt"
389,10,Chương 10: Giao tiếp & Mối quan hệ xã hội (コミュニケーションと社交),繰り上げる (くりあげる),"sớm hơn (lịch trình), thăng tiến"
390,10,Chương 10: Giao tiếp & Mối quan hệ xã hội (コミュニケーションと社交),磨き上げる (みがきあげる),"đánh bóng, mài giũa"
391,11,"Chương 11: Học tập, Thi cử & Trường học (学習・試験と学校教育)",鍛え上げる (きたえあげる),"dạy dỗ, rèn luyện"
392,11,"Chương 11: Học tập, Thi cử & Trường học (学習・試験と学校教育)",書き上げる (かきあげる),"Viết xong, hoàn thành"
393,11,"Chương 11: Học tập, Thi cử & Trường học (学習・試験と学校教育)",育て上げる (そだてあげる),Nuôi lớn
394,11,"Chương 11: Học tập, Thi cử & Trường học (学習・試験と学校教育)",読み上げる (よみあげる),"Đọc to, đọc ra"
395,11,"Chương 11: Học tập, Thi cử & Trường học (学習・試験と学校教育)",数え上げる (かぞえあげる),"Nêu lên, liệt kê, đếm"
396,11,"Chương 11: Học tập, Thi cử & Trường học (学習・試験と学校教育)",投げ出す (なげだす),"ngồi vắt chéo chân, từ bỏ"
397,11,"Chương 11: Học tập, Thi cử & Trường học (学習・試験と学校教育)",持ち出す (もちだす),"mang ra ngoài, cầm đi"
398,11,"Chương 11: Học tập, Thi cử & Trường học (学習・試験と学校教育)",追い出す (おいだす),"đuổi đi, tống cổ"
399,11,"Chương 11: Học tập, Thi cử & Trường học (学習・試験と学校教育)",放り出す (ほうりだす),"quảng đi, phóng ra, bỏ cuộc"
400,11,"Chương 11: Học tập, Thi cử & Trường học (学習・試験と学校教育)",貸し出す (かしだす),cho vay; cho mượn
401,11,"Chương 11: Học tập, Thi cử & Trường học (学習・試験と学校教育)",聞き出す (ききだす),"lắng nghe, chất vấn"
402,11,"Chương 11: Học tập, Thi cử & Trường học (学習・試験と学校教育)",連れ出す (つれだす),dẫn ra ngoài
403,11,"Chương 11: Học tập, Thi cử & Trường học (学習・試験と学校教育)",引っ張り出す (ひっぱりだす),"lôi ra, đem ra, kéo ra ngoài"
404,11,"Chương 11: Học tập, Thi cử & Trường học (学習・試験と学校教育)",逃げ出す (にげだす),"chạy trốn, thoát ra ngoài"
405,11,"Chương 11: Học tập, Thi cử & Trường học (学習・試験と学校教育)",飛び出す (とびだす),"phóng ra, bỏ nhà đi"
406,11,"Chương 11: Học tập, Thi cử & Trường học (学習・試験と学校教育)",見つけ出す (みつけだす),"tìm thấy, tìm ra"
407,11,"Chương 11: Học tập, Thi cử & Trường học (学習・試験と学校教育)",探し出す (さがしだす),tìm thấy được
408,11,"Chương 11: Học tập, Thi cử & Trường học (学習・試験と学校教育)",書き出す (かきだす),viết ra
409,11,"Chương 11: Học tập, Thi cử & Trường học (学習・試験と学校教育)",飛び込む (とびこむ),"nhảy vào, lao vào"
410,11,"Chương 11: Học tập, Thi cử & Trường học (学習・試験と学校教育)",駆け込む (かけこむ),"đâm sầm vào, vội vã chạy"
411,11,"Chương 11: Học tập, Thi cử & Trường học (学習・試験と学校教育)",割り込む (わりこむ),chen vào; xen ngang
412,11,"Chương 11: Học tập, Thi cử & Trường học (学習・試験と学校教育)",差し込む (さしこむ),"cắm vào ( điện, chìa khóa...), chiếu vào"
413,11,"Chương 11: Học tập, Thi cử & Trường học (学習・試験と学校教育)",染み込む (しみこむ),"ngấm gia vị, thấm vào"
414,11,"Chương 11: Học tập, Thi cử & Trường học (学習・試験と学校教育)",引っ込む (ひっこむ),"lui vào, co lại, quy ân giang hồ"
415,11,"Chương 11: Học tập, Thi cử & Trường học (学習・試験と学校教育)",詰め込む (つめこむ),"nhét vào, tống vào"
416,11,"Chương 11: Học tập, Thi cử & Trường học (学習・試験と学校教育)",飲み込む (のみこむ),"nuốt vào, hiểu rõ"
417,11,"Chương 11: Học tập, Thi cử & Trường học (学習・試験と学校教育)",運び込む (はこびこむ),"mang vào, bê vào"
418,11,"Chương 11: Học tập, Thi cử & Trường học (学習・試験と学校教育)",打ち込む (うちこむ),"đóng (đỉnh), cống hiến, nhập ( dữ liệu )"
419,11,"Chương 11: Học tập, Thi cử & Trường học (学習・試験と学校教育)",注ぎ込む (そそぎこむ),"dồn hết vào, đổ vào"
420,11,"Chương 11: Học tập, Thi cử & Trường học (学習・試験と学校教育)",引き込む (ひきこむ),"lôi kéo vào, dẫn vào"
421,11,"Chương 11: Học tập, Thi cử & Trường học (学習・試験と学校教育)",書き込む (かきこむ),"ghi vào, viết vào, đăng tải"
422,11,"Chương 11: Học tập, Thi cử & Trường học (学習・試験と学校教育)",巻き込む (まきこむ),"cuộn vào, lôi kéo"
423,11,"Chương 11: Học tập, Thi cử & Trường học (学習・試験と学校教育)",追い込む (おいこむ),"lùa, dồn vào"
424,11,"Chương 11: Học tập, Thi cử & Trường học (学習・試験と学校教育)",呼び込む (よびこむ),"mời gọi, lôi kéo, thu hút, đem lại"
425,11,"Chương 11: Học tập, Thi cử & Trường học (学習・試験と学校教育)",座り込む (すわりこむ),"ngồi lì, ngồi bệt xuống"
426,11,"Chương 11: Học tập, Thi cử & Trường học (学習・試験と学校教育)",寝込む (ねこむ),"hôn mê, nằm liệt giường"
427,11,"Chương 11: Học tập, Thi cử & Trường học (学習・試験と学校教育)",話し込む (はなしこむ),"Say sưa trò chuyện, nhập tâm"
428,11,"Chương 11: Học tập, Thi cử & Trường học (学習・試験と学校教育)",黙り込む (だまりこむ),"chìm vào yên lặng, giữ im lặng"
429,11,"Chương 11: Học tập, Thi cử & Trường học (学習・試験と学校教育)",泊まり込む (とまりこむ),"trọ lại, ở lại"
430,12,Chương 12: Tìm việc & Phỏng vấn tuyển dụng (就職活動・面接と採用),住み込む (すみこむ),"Ở nhờ, ăn nhờ ở đậu"
431,12,Chương 12: Tìm việc & Phỏng vấn tuyển dụng (就職活動・面接と採用),煮込む (にこむ),"nấu nhừ, ninh kỹ"
432,12,Chương 12: Tìm việc & Phỏng vấn tuyển dụng (就職活動・面接と採用),売り込む (うりこむ),"chào hàng, tiếp thị sản phẩm"
433,12,Chương 12: Tìm việc & Phỏng vấn tuyển dụng (就職活動・面接と採用),頼み込む (たのみこむ),"năn nỉ, nhờ vả"
434,12,Chương 12: Tìm việc & Phỏng vấn tuyển dụng (就職活動・面接と採用),教え込む (おしえこむ),"dạy dỗ, huấn luyện"
435,12,Chương 12: Tìm việc & Phỏng vấn tuyển dụng (就職活動・面接と採用),話し合う (はなしあう),"trò chuyện, nói chuyện"
436,12,Chương 12: Tìm việc & Phỏng vấn tuyển dụng (就職活動・面接と採用),言い合う (いいあう),"tranh luận, cãi cọ, thốt lên"
437,12,Chương 12: Tìm việc & Phỏng vấn tuyển dụng (就職活動・面接と採用),語り合う (かたりあう),"tâm sự, hàn huyên"
438,12,Chương 12: Tìm việc & Phỏng vấn tuyển dụng (就職活動・面接と採用),見つめ合う (みつめあう),nhìn chằm chằm
439,12,Chương 12: Tìm việc & Phỏng vấn tuyển dụng (就職活動・面接と採用),向かい合う (むかいあう),đối diện nhau
440,12,Chương 12: Tìm việc & Phỏng vấn tuyển dụng (就職活動・面接と採用),助け合う (たすけあう),giúp đỡ hỗ trợ nhau
441,12,Chương 12: Tìm việc & Phỏng vấn tuyển dụng (就職活動・面接と採用),分け合う (わけあう),"chia sẻ, chia đều ra.."
442,12,Chương 12: Tìm việc & Phỏng vấn tuyển dụng (就職活動・面接と採用),出し合う (だしあう),"đóng góp, phối hợp, cùng góp phần"
443,12,Chương 12: Tìm việc & Phỏng vấn tuyển dụng (就職活動・面接と採用),申し合わせる (もうしあわせる),"thống nhất, sắp xếp"
