STT_Goc,Chuong,Ten_Chuong,Pattern,Reading,Meaning,Connection,Level
136,23,"Chương 23: Du lịch, Thể thao & Giải trí (旅行・スポーツと娯楽)",N1もVばN2もVる / N1もAければN2もAい / N1もAならN2もAなだ / N1もNならN2もNだ,N1もVばN2もVる / N1もAければN2もAい / N1もAならN2もAなだ / N1もNならN2もNだ,N1もVばN2もVる / N1もAければN2もAい / N1もAならN2もAなだ / N1もNならN2もNだ,N1もVばN2もVる,N2
137,23,"Chương 23: Du lịch, Thể thao & Giải trí (旅行・スポーツと娯楽)",〜ものだ / もんだ,〜ものだ / もんだ,〜ものだ / もんだ,V (thể thông thường) / N / A + ものだ,N2
138,23,"Chương 23: Du lịch, Thể thao & Giải trí (旅行・スポーツと娯楽)",Vるものではない / もんじゃない,Vるものではない / もんじゃない,Vるものではない / もんじゃない,Vるものではない,N2
139,24,"Chương 24: Thời gian, Thay đổi & Quá trình (時間・変化とプロセス)",〜というものだ / というもんだ,〜というものだ / というもんだ,〜というものだ / というもんだ,V (thể thông thường) / N / A + というものだ,N2
140,24,"Chương 24: Thời gian, Thay đổi & Quá trình (時間・変化とプロセス)",〜ものか / ものですか,〜ものか / ものですか,〜ものか / ものですか,V (thể thông thường) / N / A + ものか,N2
141,24,"Chương 24: Thời gian, Thay đổi & Quá trình (時間・変化とプロセス)",Nを中心に / 中心にして / 中心にしたN / 中心として,Nをちゅうしんに / ちゅうしんにして / ちゅうしんにしたN / ちゅうしんとして,Nをちゅうしんに / ちゅうしんにして / ちゅうしんにしたN / ちゅうしんとして,Nを中心に,N2
142,24,"Chương 24: Thời gian, Thay đổi & Quá trình (時間・変化とプロセス)",Nをこめて,Nをこめて,Nをこめて,Nをこめて,N2
143,24,"Chương 24: Thời gian, Thay đổi & Quá trình (時間・変化とプロセス)",Nを通じて / 通して,Nをつうじて / とおして,Nをつうじて / とおして,Nを通じて,N2
144,24,"Chương 24: Thời gian, Thay đổi & Quá trình (時間・変化とプロセス)",Nを頼りにV / 頼りとして / 頼りにして,NをたよりにV / たよりとして / たよりにして,NをたよりにV / たよりとして / たよりにして,Nを頼りにV,N2
145,25,"Chương 25: Đánh giá, Phán đoán & So sánh (評価・判断と比較)",〜恐れがある,〜おそれがある,"Có nguy cơ, e rằng... (xảy ra điều xấu)",V-dict / N + の + 恐れがある,N2
146,25,"Chương 25: Đánh giá, Phán đoán & So sánh (評価・判断と比較)",〜ものがある,〜ものがある,〜ものがある,V (thể thông thường) / N / A + ものがある,N2
147,25,"Chương 25: Đánh giá, Phán đoán & So sánh (評価・判断と比較)",Vば / Aければ / Aなら / Nなら + Aいという / Aだ（Nだ）という + ものでもない / ものではない,Vば / Aければ / Aなら / Nなら + Aいという / Aだ（Nだ）という + ものでもない / ものではない,Vば / Aければ / Aなら / Nなら + Aいという / Aだ（Nだ）という + ものでもない / ものではない,Vば,N2
148,25,"Chương 25: Đánh giá, Phán đoán & So sánh (評価・判断と比較)",どうにか / なんとか + Vないものか / Vれないもの（だろう）か,どうにか / なんとか + Vないものか / Vれないもの（だろう）か,どうにか / なんとか + Vないものか / Vれないもの（だろう）か,どうにか,N2
149,25,"Chương 25: Đánh giá, Phán đoán & So sánh (評価・判断と比較)",Nをもとに / もとにして,Nをもとに / もとにして,Nをもとに / もとにして,Nをもとに,N2
150,25,"Chương 25: Đánh giá, Phán đoán & So sánh (評価・判断と比較)",Nにつき,Nにつき,Nにつき,Nにつき,N2
151,26,"Chương 26: Tranh luận, Lý lẽ & Quan điểm (議論・主張と見解)",〜を契機に / 〜をきっかけに,〜をけいきに / 〜をきっかけに,Nhân dịp... / Kể từ bước ngoặt...,N + を契機に / をきっかけに,N2
152,26,"Chương 26: Tranh luận, Lý lẽ & Quan điểm (議論・主張と見解)",〜際に,〜さいに,〜さいに,V (thể thông thường) / N / A + 際に,N2
153,26,"Chương 26: Tranh luận, Lý lẽ & Quan điểm (議論・主張と見解)",A（事実）。それなのにB（予想外の結果）,A（じじつ）。それなのにB（よそうがいのけっか）,A（じじつ）。それなのにB（よそうがいのけっか）,A（事実）。それなのにB（予想外の結果）,N2
154,26,"Chương 26: Tranh luận, Lý lẽ & Quan điểm (議論・主張と見解)",A（状況）。それでもB（結果）,A（じょうきょう）。それでもB（けっか）,A（じょうきょう）。それでもB（けっか）,A（状況）。それでもB（結果）,N2
155,26,"Chương 26: Tranh luận, Lý lẽ & Quan điểm (議論・主張と見解)",「A」「それなら（ば）B」,「A」「それなら（ば）B」,「A」「それなら（ば）B」,「A」「それなら（ば）B」,N2
156,27,"Chương 27: Rắc rối, Thất bại & Khắc phục (トラブル・失敗と克服)",A（理由）。それでB（結果）,A（りゆう）。それでB（けっか）,A（りゆう）。それでB（けっか）,A（理由）。それでB（結果）,N2
157,27,"Chương 27: Rắc rối, Thất bại & Khắc phục (トラブル・失敗と克服)",「A」「それがB」,「A」「それがB」,「A」「それがB」,「A」「それがB」,N2
158,27,"Chương 27: Rắc rối, Thất bại & Khắc phục (トラブル・失敗と克服)",A（予定）。それがB（Aと異なる結果）,A（よてい）。それがB（Aと異なるけっか）,A（よてい）。それがB（Aと異なるけっか）,A（予定）。それがB（Aと異なる結果）,N2
159,27,"Chương 27: Rắc rối, Thất bại & Khắc phục (トラブル・失敗と克服)",A（事情の説明）。そこでB（提案）,A（じじょうのせつめい）。そこでB（ていあん）,A（じじょうのせつめい）。そこでB（ていあん）,A（事情の説明）。そこでB（提案）,N2
160,27,"Chương 27: Rắc rối, Thất bại & Khắc phục (トラブル・失敗と克服)",A。そういえばB,A。そういえばB,A。そういえばB,Văn bản / Câu A. + A。そういえばB,N2
161,28,"Chương 28: Khen ngợi, Động viên & Trách móc (称賛・励ましと批判)",A。それはそうとB,A。それはそうとB,A。それはそうとB,Văn bản / Câu A. + A。それはそうとB,N2
162,28,"Chương 28: Khen ngợi, Động viên & Trách móc (称賛・励ましと批判)",AすなわちA’,AすなわちA’,AすなわちA’,Văn bản / Câu A. + AすなわちA’,N2
163,28,"Chương 28: Khen ngợi, Động viên & Trách móc (称賛・励ましと批判)",AあるいはB,AあるいはB,AあるいはB,Văn bản / Câu A. + AあるいはB,N2
164,28,"Chương 28: Khen ngợi, Động viên & Trách móc (称賛・励ましと批判)",A。だがB,A。だがB,A。だがB,Văn bản / Câu A. + A。だがB,N2
165,28,"Chương 28: Khen ngợi, Động viên & Trách móc (称賛・励ましと批判)",A。だってB,A。だってB,A。だってB,Văn bản / Câu A. + A。だってB,N2
166,29,"Chương 29: Mong ước, Hy vọng & Tương lai (希望・将来と夢)",A。ということはB,A。ということはB,A。ということはB,Văn bản / Câu A. + A。ということはB,N2
167,29,"Chương 29: Mong ước, Hy vọng & Tương lai (希望・将来と夢)",A。というのはB,A。というのはB,A。というのはB,Văn bản / Câu A. + A。というのはB,N2
168,29,"Chương 29: Mong ước, Hy vọng & Tương lai (希望・将来と夢)",A。したがってB,A。したがってB,A。したがってB,Văn bản / Câu A. + A。したがってB,N2
169,29,"Chương 29: Mong ước, Hy vọng & Tương lai (希望・将来と夢)",A。ただしB,A。ただしB,A。ただしB,Văn bản / Câu A. + A。ただしB,N2
170,29,"Chương 29: Mong ước, Hy vọng & Tương lai (希望・将来と夢)",A。もっともB,A。もっともB,A。もっともB,Văn bản / Câu A. + A。もっともB,N2
171,30,"Chương 30: Trưởng thành, Thành công & Đúc kết (成長・成功と総括)",A。なおB,A。なおB,A。なおB,Văn bản / Câu A. + A。なおB,N2
172,30,"Chương 30: Trưởng thành, Thành công & Đúc kết (成長・成功と総括)",A。さてB,A。さてB,A。さてB,Văn bản / Câu A. + A。さてB,N2
173,30,"Chương 30: Trưởng thành, Thành công & Đúc kết (成長・成功と総括)",A。するとB,A。するとB,A。するとB,Văn bản / Câu A. + A。するとB,N2
174,30,"Chương 30: Trưởng thành, Thành công & Đúc kết (成長・成功と総括)",A。要するにA’,A。ようするにA’,A。ようするにA’,Văn bản / Câu A. + A。要するにA’,N2
175,30,"Chương 30: Trưởng thành, Thành công & Đúc kết (成長・成功と総括)",（Nは）A。しかもB,（Nは）A。しかもB,（Nは）A。しかもB,Văn bản / Câu A. + （Nは）A。しかもB,N2
