stt,pattern,reading,meaning,connection,usage_notes,level,exam_ja_1,exam_vi_1,exam_ja_2,exam_vi_2,similar_patterns,card_type
48,〜つれて / つれ,〜つれて / つれ,〜つれて / つれ,V (thể thông thường) / N / A + つれて,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa '〜つれて / つれ'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、つれてことが大切である。,"Để đạt được mục tiêu, việc (〜つれて / つれ) là rất quan trọng.",日々の練習を積み重ねて、つれて成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (〜つれて / つれ).",類: 〜つれて / Mẫu ngữ pháp N2 liên quan,grammar
49,〜したがって / したがい,〜したがって / したがい,〜したがって / したがい,V (thể thông thường) / N / A + したがって,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa '〜したがって / したがい'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、したがってことが大切である。,"Để đạt được mục tiêu, việc (〜したがって / したがい) là rất quan trọng.",日々の練習を積み重ねて、したがって成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (〜したがって / したがい).",類: 〜したがって / Mẫu ngữ pháp N2 liên quan,grammar
50,〜とおり / とおりに / とおりだ / とおりのN,〜とおり / とおりに / とおりだ / とおりのN,〜とおり / とおりに / とおりだ / とおりのN,〜とおり,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa '〜とおり / とおりに / とおりだ / とおりのN'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、とおりことが大切である。,"Để đạt được mục tiêu, việc (〜とおり / とおりに / とおりだ / とおりのN) là rất quan trọng.",日々の練習を積み重ねて、とおり成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (〜とおり / とおりに / とおりだ / とおりのN).",類: 〜とおり / Mẫu ngữ pháp N2 liên quan,grammar
51,Vる / Vられる + ままに,Vる / Vられる + ままに,Vる / Vられる + ままに,Vる,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa 'Vる / Vられる + ままに'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、努力ることが大切である。,"Để đạt được mục tiêu, việc (Vる / Vられる + ままに) là rất quan trọng.",日々の練習を積み重ねて、努力る成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (Vる / Vられる + ままに).",類: Vる / Mẫu ngữ pháp N2 liên quan,grammar
52,〜ことに,〜ことに,〜ことに,V (thể thông thường) / N / A + ことに,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa '〜ことに'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、ことにことが大切である。,"Để đạt được mục tiêu, việc (〜ことに) là rất quan trọng.",日々の練習を積み重ねて、ことに成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (〜ことに).",類: 〜ことに / Mẫu ngữ pháp N2 liên quan,grammar
53,〜あまり,〜あまり,〜あまり,V (thể thông thường) / N / A + あまり,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa '〜あまり'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、あまりことが大切である。,"Để đạt được mục tiêu, việc (〜あまり) là rất quan trọng.",日々の練習を積み重ねて、あまり成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (〜あまり).",類: 〜あまり / Mẫu ngữ pháp N2 liên quan,grammar
54,〜わけだ,〜わけだ,"Thảo nào, hèn chi / Đương nhiên là...","V / A / N (thể thông thường, N + な/である) + わけだ",Hiểu ra nguyên nhân lý do tất yếu của một sự việc sau khi được giải thích.,N2,エアコンが壊れていたのか。どうりで部屋が暑いわけだ。,Hóa ra điều hòa bị hỏng à. Hèn chi mà trong phòng nóng thế.,5年も日本に住んでいるなら、日本語が上手なわけだ。,Nếu đã sống ở Nhật 5 năm thì thảo nào tiếng Nhật của anh ấy giỏi như vậy.,類: なるほど〜のはずだ,grammar
55,〜わけではない / 〜わけでもない,〜わけではない,Không hẳn là... / Không nhất thiết là...,"V / A / N (thể thông thường, N + な/である) + わけではない","Phủ định một phần, làm giảm bớt tính tuyệt đối của sự việc.",N2,日本料理が嫌いなわけではないが、辛い料理のほうが好きだ。,"Không hẳn là tôi ghét món Nhật, nhưng tôi thích các món cay hơn.",高いものが必ずしもすべて良いわけではない。,Không hẳn cứ đồ đắt tiền thì tất cả đều tốt.,類: 〜とは限らない,grammar
56,〜わけがない / 〜わけはない,〜わけがない,Tuyệt đối không thể... / Lẽ nào lại...,"V / A / N (thể thông thường, N + な/である) + わけがない",Khẳng định chắc chắn 100% một việc không thể nào xảy ra theo lẽ thường.,N2,彼がそんな嘘をつくわけがない。正直な人だから。,Anh ấy tuyệt đối không thể nói dối như thế. Vì anh ấy là người rất trung thực.,こんな難しい問題、小学生に解けるわけがない。,Bài toán khó thế này thì học sinh tiểu học làm sao mà giải được.,類: 〜はずがない / 〜っこない,grammar
57,〜わけにはいかない / 〜わけにもいかない,〜わけにはいかない,Không thể làm thế được (do đạo đức/xã hội) / Buộc phải làm,V-dict / V-nai + わけにはいかない,"Dù muốn hay không muốn cũng không thể làm vì bị ràng buộc bởi đạo đức, pháp luật, quy tắc xã hội.",N2,大事な会議があるので、風邪でも休むわけにはいかない。,Vì có cuộc họp quan trọng nên dù bị cảm tôi cũng không thể nghỉ được.,友人に頼まれた約束を破るわけにはいかない。,Tôi không thể phá bỏ lời hứa đã nhận với bạn mình được.,類: 〜できない (về mặt đạo đức),grammar
58,Vたとたん / とたんに,Vたとたん / とたんに,Vたとたん / とたんに,Vたとたん,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa 'Vたとたん / とたんに'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、努力たとたんことが大切である。,"Để đạt được mục tiêu, việc (Vたとたん / とたんに) là rất quan trọng.",日々の練習を積み重ねて、努力たとたん成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (Vたとたん / とたんに).",類: Vたとたん / Mẫu ngữ pháp N2 liên quan,grammar
59,〜あげく / あげくに / あげくのN,〜あげく / あげくに / あげくのN,〜あげく / あげくに / あげくのN,〜あげく,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa '〜あげく / あげくに / あげくのN'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、あげくことが大切である。,"Để đạt được mục tiêu, việc (〜あげく / あげくに / あげくのN) là rất quan trọng.",日々の練習を積み重ねて、あげく成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (〜あげく / あげくに / あげくのN).",類: 〜あげく / Mẫu ngữ pháp N2 liên quan,grammar
60,〜末 / 末に / すえのN,〜末 / 末に / すえのN,〜末 / 末に / すえのN,〜末,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa '〜末 / 末に / すえのN'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、末ことが大切である。,"Để đạt được mục tiêu, việc (〜末 / 末に / すえのN) là rất quan trọng.",日々の練習を積み重ねて、末成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (〜末 / 末に / すえのN).",類: 〜末 / Mẫu ngữ pháp N2 liên quan,grammar
61,〜思ったら / 思うと,〜思ったら / 思うと,〜思ったら / 思うと,V (thể thông thường) / N / A + 思ったら,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa '〜思ったら / 思うと'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、思ったらことが大切である。,"Để đạt được mục tiêu, việc (〜思ったら / 思うと) là rất quan trọng.",日々の練習を積み重ねて、思ったら成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (〜思ったら / 思うと).",類: 〜思ったら / Mẫu ngữ pháp N2 liên quan,grammar
62,〜ところ（に / へ / を）,〜ところ（に / へ / を）,〜ところ（に / へ / を）,V (thể thông thường) / N / A + ところ（に,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa '〜ところ（に / へ / を）'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、ところ（にことが大切である。,"Để đạt được mục tiêu, việc (〜ところ（に / へ / を）) là rất quan trọng.",日々の練習を積み重ねて、ところ（に成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (〜ところ（に / へ / を）).",類: 〜ところ（に / Mẫu ngữ pháp N2 liên quan,grammar
63,Vたところ,Vたところ,Vたところ,Vたところ,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa 'Vたところ'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、努力たところことが大切である。,"Để đạt được mục tiêu, việc (Vたところ) là rất quan trọng.",日々の練習を積み重ねて、努力たところ成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (Vたところ).",類: Vたところ / Mẫu ngữ pháp N2 liên quan,grammar
64,Vるところ / Nどころ / Vているどころ + ではない / じゃない / ではなく / じゃなく,Vるところ / Nどころ / Vているどころ + ではない / じゃない / ではなく / じゃなく,Vるところ / Nどころ / Vているどころ + ではない / じゃない / ではなく / じゃなく,Vるところ,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa 'Vるところ / Nどころ / Vているどころ + ではない / じゃない / ではなく / じゃなく'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、努力るところことが大切である。,"Để đạt được mục tiêu, việc (Vるところ / Nどころ / Vているどころ + ではない / じゃない / ではなく / じゃなく) là rất quan trọng.",日々の練習を積み重ねて、努力るところ成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (Vるところ / Nどころ / Vているどころ + ではない / じゃない / ではなく / じゃなく).",類: Vるところ / Mẫu ngữ pháp N2 liên quan,grammar
65,〜どころか,〜どころか,"Nói chi đến... / Ngay cả... cũng không được, trái lại...",N / V-thể thông thường + どころか,"Bác bỏ mức độ trước, nhấn mạnh mức độ thực tế hoàn toàn trái ngược hoặc tệ hơn rất nhiều.",N2,貯金どころか、借金まで抱えてしまっている。,"Nói chi đến tiết kiệm tiền, tôi còn đang phải gánh nợ nần đây này.",風邪は治るどころか、ますます熱が高くなってきた。,Bệnh cảm không những chẳng đỡ mà sốt ngày càng cao hơn.,類: 〜どころではない / 〜どころかそれどころか,grammar
66,Nだらけ,Nだらけ,Nだらけ,Nだらけ,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa 'Nだらけ'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、仕事だらけことが大切である。,"Để đạt được mục tiêu, việc (Nだらけ) là rất quan trọng.",日々の練習を積み重ねて、仕事だらけ成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (Nだらけ).",類: Nだらけ / Mẫu ngữ pháp N2 liên quan,grammar
67,VたきりVない / Vたきりだ / Vたっきりだ,VたきりVない / Vたきりだ / Vたっきりだ,VたきりVない / Vたきりだ / Vたっきりだ,VたきりVない,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa 'VたきりVない / Vたきりだ / Vたっきりだ'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、努力たきり努力ないことが大切である。,"Để đạt được mục tiêu, việc (VたきりVない / Vたきりだ / Vたっきりだ) là rất quan trọng.",日々の練習を積み重ねて、努力たきり努力ない成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (VたきりVない / Vたきりだ / Vたっきりだ).",類: VたきりVない / Mẫu ngữ pháp N2 liên quan,grammar
68,Vきり / Vっきり,Vきり / Vっきり,Vきり / Vっきり,Vきり,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa 'Vきり / Vっきり'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、努力きりことが大切である。,"Để đạt được mục tiêu, việc (Vきり / Vっきり) là rất quan trọng.",日々の練習を積み重ねて、努力きり成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (Vきり / Vっきり).",類: Vきり / Mẫu ngữ pháp N2 liên quan,grammar
69,Vっぱなし,Vっぱなし,Vっぱなし,Vっぱなし,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa 'Vっぱなし'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、努力っぱなしことが大切である。,"Để đạt được mục tiêu, việc (Vっぱなし) là rất quan trọng.",日々の練習を積み重ねて、努力っぱなし成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (Vっぱなし).",類: Vっぱなし / Mẫu ngữ pháp N2 liên quan,grammar
70,Nに反して / Nに反するN,Nにはんして,"Trái ngược với N (dự đoán, kỳ vọng, quy tắc)",N + に反して / に反し / に反するN,"Kết quả thực tế xảy ra trái ngược hoàn toàn với dự đoán, kỳ vọng hoặc vi phạm quy định pháp luật.",N2,専門家の予想に反して、株価が急激に上昇した。,"Trái ngược với dự đoán của các chuyên gia, giá cổ phiếu đã tăng vọt.",親の期待に反して、彼は大学に進学しなかった。,"Trái với kỳ vọng của cha mẹ, anh ấy đã không học lên đại học.",類: 〜とは逆に / 対: 〜に従って,grammar
71,〜反面,〜はんめん,"Mặt khác, ngược lại (hai mặt của cùng một vấn đề)","V / A / N (thể thông thường, N + である) + 反面","Miêu tả hai mặt đối lập, tồn tại song song của cùng một đối tượng hay sự việc.",N2,都会の生活は便利な反面、ストレスも多い。,Cuộc sống thành thị tiện lợi nhưng mặt khác lại có nhiều áp lực.,この薬は効果が高い反面、副作用も強い。,Loại thuốc này hiệu quả cao nhưng mặt khác tác dụng phụ cũng rất mạnh.,類: 〜一方で / 〜他方,grammar
72,〜一方（で）,〜いっぽう（で）,Một mặt thì... mặt khác thì...,"V / A / N (thể thông thường, N + である) + 一方（で）",Đưa ra hai khía cạnh đối lập hoặc hai hành động diễn ra song song của cùng một chủ thể/sự việc.,N2,彼は会社を経営する一方で、大学で講義も行っている。,"Một mặt anh ấy điều hành công ty, mặt khác anh ấy cũng tham gia giảng dạy tại trường đại học.",物価が上がる一方で、給料はなかなか上がらない。,"Giá cả hàng hóa thì tăng, trong khi tiền lương mãi vẫn chẳng thấy tăng.",類: 〜反面,grammar
73,Vる一方だ,Vるいっぽうだ,Ngày càng... (có xu hướng liên tục theo một chiều hướng),"V-dict (chỉ sự biến đổi: 増える, 減る, 悪化する...) + 一方だ",Biểu thị sự biến đổi tiếp diễn không ngừng theo một hướng nhất định (thường là chiều hướng tiêu cực hoặc xấu đi).,N2,少子高齢化が進み、人口は減る一方だ。,"Tỷ lệ sinh giảm và già hóa dân số tăng cao, dân số ngày càng giảm sút.",仕事のストレスで、彼の体調は悪化する一方だ。,"Do áp lực công việc, sức khỏe của anh ấy ngày càng trở nên tồi tệ hơn.",類: 〜ばかりだ / 〜どんどん変化する,grammar
74,Vるべきだ / Vるべきではない,Vるべきだ,"Nên làm V / Không nên làm V (đạo đức, trách nhiệm xã hội)",V-dict + べきだ / べきではない (する → すべきだ / するべきだ),"Biểu thị ý kiến, lương tâm hoặc đạo lý thông thường cho rằng việc đó là đương nhiên nên làm. Không dùng để khuyên cấp trên trực tiếp.",N2,約束した以上、どんなことがあっても守るべきだ。,Một khi đã hứa thì dù có chuyện gì xảy ra cũng nên giữ lời.,他人の悪口を言うべきではない。,Không nên nói xấu sau lưng người khác.,類: 〜のが当然だ / 〜したほうがいい,grammar
75,Vざるを得ない,Vざるをえない,Đành phải làm V / Buộc phải làm V dù không muốn,V-nai (bỏ ない) + ざるを得ない (する → せざるを得ない),Bản thân không muốn nhưng do hoàn cảnh hoặc áp lực khách quan buộc phải chấp nhận làm điều đó.,N2,台風が近づいているため、旅行は中止せざるを得ない。,Vì bão đang đến gần nên chúng tôi đành phải hủy chuyến du lịch.,これだけの証拠を突きつけられたら、罪を認めざるを得ない。,Bị đưa ra bằng chứng nhiều thế này thì đành phải nhận tội.,類: 〜しかない / 〜ほかない,grammar
76,Vる / Vない / Nという + ことになっている,Vる / Vない / Nという + ことになっている,Vる / Vない / Nという + ことになっている,Vる,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa 'Vる / Vない / Nという + ことになっている'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、努力ることが大切である。,"Để đạt được mục tiêu, việc (Vる / Vない / Nという + ことになっている) là rất quan trọng.",日々の練習を積み重ねて、努力る成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (Vる / Vない / Nという + ことになっている).",類: Vる / Mẫu ngữ pháp N2 liên quan,grammar
77,〜にすぎない,〜にすぎない,Chẳng qua chỉ là... / Không quá mức...,"V / A / N (thể thông thường, N + である) + にすぎない","Đánh giá sự việc ở mức độ thấp, tầm thường, không có gì to tát hay đặc biệt.",N2,私はただ自分の義務を果たしたにすぎません。,Tôi chẳng qua chỉ là làm tròn nghĩa vụ của bản thân mà thôi.,これはまだ調査の第一段階にすぎない。,Đây chẳng qua mới chỉ là giai đoạn đầu tiên của cuộc điều tra.,類: ただの〜だ / 〜だけでしかない,grammar
78,〜にあたって / 〜にあたり,〜にあたって,Nhân dịp... / Vào thời điểm bắt đầu sự kiện quan trọng...,V-dict / N + にあたって / にあたり / にあたっては,"Dùng trong các bài phát biểu trang trọng, lễ khai trương, bắt đầu dự án mới.",N2,新事業の開始にあたって、関係者の皆様にご挨拶申し上げます。,"Nhân dịp bắt đầu dự án kinh doanh mới, tôi xin gửi lời chào đến toàn thể quý vị hữu quan.",留学にあたり、多くの友人から励ましの言葉をもらった。,"Vào thời điểm đi du học, tôi đã nhận được nhiều lời động viên từ bạn bè.",類: 〜に際して / 〜の時に,grammar
79,Nに沿って / Nに沿ったN,Nにそって,"Dọc theo... / Tuân theo, bám sát theo N",N + に沿って / に沿い / に沿ったN,"N có thể là con đường, dòng sông (nghĩa đen) hoặc kế hoạch, quy định, chính sách (nghĩa bóng).",N2,計画に沿って、プロジェクトを着実に進めてください。,Hãy bám sát theo kế hoạch và tiến hành dự án một cách vững chắc.,川に沿って散歩するのが毎朝の日課です。,Đi dạo dọc theo bờ sông là thói quen mỗi sáng của tôi.,類: 〜に従って / 〜どおりに,grammar
80,〜に先立って / 〜に先立ち,〜にさきだって,Trước khi làm việc lớn... / Chuẩn bị trước khi...,V-dict / N + に先立って / に先立ち / に先立つN,"Chuẩn bị các thủ tục, hội nghị tiền trạm trước khi sự kiện chính thức diễn ra. Mang tính trang trọng.",N2,映画の公開に先立って、プレミア試写会が行われた。,"Trước khi công chiếu bộ phim, buổi chiếu thử ra mắt đã được tổ chức.",工事の開始に先立ち、住民への説明会が開かれた。,"Trước khi bắt đầu thi công, buổi giải trình cho người dân địa phương đã được mở ra.",類: 〜の前に (trang trọng),grammar
81,Nにわたって / NにわたるN,Nにわたって,"Suốt, trải dài trên diện rộng N (thời gian, không gian)","N (chỉ thời gian, không gian, số lần) + にわたって / にわたり / にわたるN","Nhấn mạnh quy mô lớn, kéo dài của sự việc.",N2,台風の影響で、3日間にわたって停電が続いた。,"Do ảnh hưởng của bão, sự cố mất điện đã kéo dài suốt 3 ngày liền.",100キロにわたる海岸線が美しく広がっている。,Đường bờ biển trải dài suốt 100km trải rộng tuyệt đẹp.,類: 〜の間ずっと / 〜の範囲全体で,grammar
82,Vっこない,Vっこない,Tuyệt đối không thể nào... / Làm sao mà... được,V-masu (bỏ ます) + っこない,"Văn nói thân mật, phủ định mạnh mẽ dựa trên nhận định chủ quan của người nói.",N2,1日でこの分厚い本を全部読めっこないよ。,Làm sao mà đọc hết cuốn sách dày cộp này trong 1 ngày được chứ!,彼がそんな難しい試験に一発で合格できっこない。,Anh ấy làm sao mà đỗ kỳ thi khó như thế ngay trong một lần được.,類: 〜はずがない / 〜わけがない,grammar
83,Vかねない,Vかねない,Có nguy cơ... / E rằng sẽ... (dẫn đến kết quả xấu),V-masu (bỏ ます) + かねない,Cảnh báo một nguyên nhân hiện tại có thể dẫn đến kết quả tiêu cực trong tương lai.,N2,そんなスピードを出したら、大事故を起こしかねないよ。,Chạy với tốc độ đó thì có nguy cơ gây tai nạn nghiêm trọng đấy.,秘密を漏らすと、会社の信用を失いかねない。,Nếu làm lộ bí mật thì có nguy cơ sẽ đánh mất uy tín của công ty.,類: 〜恐れがある / 対: 〜かねる (khó có thể làm),grammar
84,Vかねる,Vかねる,Khó có thể... / Không thể làm được (từ chối lịch sự),V-masu (bỏ ます) + かねる,"Dùng trong giao tiếp thương mại để từ chối yêu cầu một cách lịch sự, nhã nhặn vì lý do quy định, khả năng.",N2,申し訳ございませんが、そのご要望には応じかねます。,Chúng tôi vô cùng xin lỗi nhưng khó có thể đáp ứng được yêu cầu đó của quý khách.,個人情報に関するご質問にはお答えしかねます。,Những câu hỏi liên quan đến thông tin cá nhân thì chúng tôi không thể trả lời được.,類: 〜できません (thô hơn) / 〜がたい,grammar
85,Vがたい,Vがたい,"Khó mà làm V được (về mặt tâm lý, cảm xúc)","V-masu (bỏ ます) + がたい (信じがたい, 理解しがたい, 許しがたい)",Người nói cảm thấy khó chấp nhận hoặc khó tin tưởng về mặt tâm lý.,N2,彼が犯人だなんて、信じがたい事実だ。,Việc anh ấy là thủ phạm là một sự thật khó mà tin nổi.,罪のない人々を傷つける行為は許しがたい。,Hành vi làm tổn thương những người vô tội là điều khó có thể tha thứ.,類: 〜にくい (khó về mặt vật lý) / 〜づらい,grammar
86,〜ことから,〜ことから,Vì... nên được gọi là / Do phán đoán từ...,"V / A / N (thể thông thường, N + である) + ことから","Giải thích nguồn gốc tên gọi hoặc căn cứ để đưa ra phán đoán, kết luận khách quan.",N2,富士山が見えることから、この坂は富士見坂と呼ばれている。,Vì từ đây có thể ngắm được núi Phú Sĩ nên con dốc này được gọi là dốc Fujimi.,道が濡れていることから、昨夜雨が降ったことが分かる。,"Căn cứ từ việc mặt đường bị ướt, có thể biết đêm qua trời đã mưa.",類: 〜という理由で / 〜から判断して,grammar
87,Nのことだから,Nのことだから,Vì là N nên chắc chắn...,N (chỉ người quen biết rõ tính cách) + のことだから,"Dựa trên tính cách, thói quen đã biết rõ của ai đó để đưa ra phán đoán gần như chắc chắn.",N2,時間厳守の彼のことだから、もうすぐ到着するはずだ。,Vì là người luôn đúng giờ như anh ấy nên chắc chắn sẽ đến ngay thôi.,真面目な彼女のことだから、きっと試験に合格するよ。,Vì là người chăm chỉ như cô ấy nên chắc chắn sẽ đỗ kỳ thi thôi.,類: 〜のことだから当然,grammar
88,Vることなく,Vることなく,Không hề làm V mà cứ thế...,V-dict + ことなく,"Văn viết trang trọng, hành động phía sau diễn ra liên tục mà không gặp cản trở hay gián đoạn.",N2,彼は一度も諦めることなく、研究を続けた。,"Anh ấy không hề bỏ cuộc dù chỉ một lần, mà vẫn kiên trì tiếp tục nghiên cứu.",列車は休むことなく走り続けた。,Đoàn tàu vẫn tiếp tục chạy miết mà không hề dừng nghỉ.,類: 〜ないで / 〜ずに (trang trọng),grammar
89,V1ないことにはV2ない,V1ないことにはV2ない,Nếu không làm V1 thì không thể làm V2,V1-nai + ことには + V2-nai / できない,"V1 là điều kiện bắt buộc tiên quyết, nếu chưa hoàn thành V1 thì vế V2 không thể diễn ra.",N2,実際に会ってみないことには、信用できるか判断できない。,Nếu không gặp gỡ trực tiếp thì không thể phán đoán xem có đáng tin hay không.,部屋の広さを見てみないことには、家具を買うわけにはいかない。,Nếu chưa xem độ rộng của căn phòng thì không thể mua đồ nội thất được.,類: 〜なければ〜できない,grammar
90,〜当然だ / 当然のN / 当たり前だ / 当たり前のN,〜とうぜんだ / とうぜんのN / 当たり前だ / 当たり前のN,〜とうぜんだ / とうぜんのN / 当たり前だ / 当たり前のN,〜当然だ,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa '〜とうぜんだ / とうぜんのN / 当たり前だ / 当たり前のN'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、当然だことが大切である。,"Để đạt được mục tiêu, việc (〜とうぜんだ / とうぜんのN / 当たり前だ / 当たり前のN) là rất quan trọng.",日々の練習を積み重ねて、当然だ成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (〜とうぜんだ / とうぜんのN / 当たり前だ / 当たり前のN).",類: 〜当然だ / Mẫu ngữ pháp N2 liên quan,grammar
91,〜もっともだ。,〜もっともだ。,〜もっともだ。,V (thể thông thường) / N / A + もっともだ。,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa '〜もっともだ。'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、もっともだ。ことが大切である。,"Để đạt được mục tiêu, việc (〜もっともだ。) là rất quan trọng.",日々の練習を積み重ねて、もっともだ。成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (〜もっともだ。).",類: 〜もっともだ。 / Mẫu ngữ pháp N2 liên quan,grammar
92,〜同然だ。,〜同然だ。,〜同然だ。,V (thể thông thường) / N / A + 同然だ。,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa '〜同然だ。'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、同然だ。ことが大切である。,"Để đạt được mục tiêu, việc (〜同然だ。) là rất quan trọng.",日々の練習を積み重ねて、同然だ。成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (〜同然だ。).",類: 〜同然だ。 / Mẫu ngữ pháp N2 liên quan,grammar
93,〜だけましだ,〜だけましだ,〜だけましだ,V (thể thông thường) / N / A + だけましだ,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa '〜だけましだ'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、だけましだことが大切である。,"Để đạt được mục tiêu, việc (〜だけましだ) là rất quan trọng.",日々の練習を積み重ねて、だけましだ成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (〜だけましだ).",類: 〜だけましだ / Mẫu ngữ pháp N2 liên quan,grammar
94,〜だけあって / だけに / だけのことはある,〜だけあって / だけに / だけのことはある,〜だけあって / だけに / だけのことはある,V (thể thông thường) / N / A + だけあって,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa '〜だけあって / だけに / だけのことはある'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、だけあってことが大切である。,"Để đạt được mục tiêu, việc (〜だけあって / だけに / だけのことはある) là rất quan trọng.",日々の練習を積み重ねて、だけあって成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (〜だけあって / だけに / だけのことはある).",類: 〜だけあって / Mẫu ngữ pháp N2 liên quan,grammar
